user_id,signup_date,signup_month,acquisition_channel,city_tier,device_os,age_bracket
100100,2026-01-22,2026-01,organic,Tier 2,Android,25-34
100101,2026-01-15,2026-01,referral,Tier 1,Android,18-24
100102,2026-01-06,2026-01,referral,Tier 1,iOS,18-24
100103,2026-01-26,2026-01,organic,Tier 3,Android,35-44
100104,2026-01-17,2026-01,paid_ads,Tier 2,Android,18-24
100105,2026-01-15,2026-01,organic,Tier 1,Android,35-44
100106,2026-01-09,2026-01,paid_ads,Tier 2,Android,25-34
100107,2026-01-06,2026-01,paid_ads,Tier 2,Android,25-34
100108,2026-01-03,2026-01,organic,Tier 3,iOS,25-34
100109,2026-01-22,2026-01,paid_ads,Tier 2,Android,18-24
100110,2026-01-10,2026-01,organic,Tier 1,Android,25-34
100111,2026-01-05,2026-01,paid_ads,Tier 1,Android,25-34
100112,2026-01-07,2026-01,partner_bank,Tier 1,Android,25-34
100113,2026-01-12,2026-01,organic,Tier 2,Android,35-44
100114,2026-01-05,2026-01,paid_ads,Tier 2,Android,25-34
100115,2026-01-20,2026-01,referral,Tier 2,iOS,25-34
100116,2026-01-17,2026-01,referral,Tier 2,Android,35-44
100117,2026-01-15,2026-01,paid_ads,Tier 1,Android,18-24
100118,2026-01-09,2026-01,referral,Tier 1,Android,25-34
100119,2026-01-13,2026-01,referral,Tier 1,Android,18-24
100120,2026-01-12,2026-01,organic,Tier 2,iOS,18-24
100121,2026-01-14,2026-01,organic,Tier 2,Android,18-24
100122,2026-01-03,2026-01,partner_bank,Tier 3,Android,25-34
100123,2026-01-09,2026-01,organic,Tier 1,Android,18-24
100124,2026-01-02,2026-01,referral,Tier 2,Android,45-54
100125,2026-01-10,2026-01,organic,Tier 1,Android,35-44
100126,2026-01-07,2026-01,paid_ads,Tier 2,Android,18-24
100127,2026-01-04,2026-01,referral,Tier 1,Android,25-34
100128,2026-01-04,2026-01,referral,Tier 2,Android,18-24
100129,2026-01-12,2026-01,organic,Tier 1,Android,18-24
100130,2026-01-05,2026-01,referral,Tier 1,iOS,55+
100131,2026-01-23,2026-01,partner_bank,Tier 2,Android,25-34
100132,2026-01-12,2026-01,referral,Tier 2,iOS,18-24
100133,2026-01-07,2026-01,referral,Tier 2,iOS,45-54
100134,2026-01-12,2026-01,paid_ads,Tier 1,iOS,45-54
100135,2026-01-02,2026-01,organic,Tier 3,Android,25-34
100136,2026-01-25,2026-01,referral,Tier 1,Android,35-44
100137,2026-01-10,2026-01,organic,Tier 2,Android,35-44
100138,2026-01-17,2026-01,organic,Tier 3,Android,35-44
100139,2026-01-03,2026-01,paid_ads,Tier 2,Android,25-34
100140,2026-01-10,2026-01,partner_bank,Tier 1,Android,35-44
100141,2026-01-10,2026-01,partner_bank,Tier 2,Android,25-34
100142,2026-01-23,2026-01,partner_bank,Tier 1,Android,25-34
100143,2026-01-12,2026-01,referral,Tier 2,iOS,18-24
100144,2026-01-10,2026-01,organic,Tier 2,Android,25-34
100145,2026-01-06,2026-01,referral,Tier 3,iOS,18-24
100146,2026-01-07,2026-01,partner_bank,Tier 3,Android,18-24
100147,2026-01-11,2026-01,paid_ads,Tier 1,Android,25-34
100148,2026-01-09,2026-01,referral,Tier 1,Android,45-54
100149,2026-01-02,2026-01,paid_ads,Tier 2,Android,18-24
100150,2026-01-19,2026-01,paid_ads,Tier 2,Android,25-34
100151,2026-01-21,2026-01,partner_bank,Tier 2,Android,35-44
100152,2026-01-04,2026-01,paid_ads,Tier 2,iOS,25-34
100153,2026-01-11,2026-01,referral,Tier 2,Android,35-44
100154,2026-01-04,2026-01,organic,Tier 3,Android,25-34
100155,2026-01-14,2026-01,referral,Tier 2,Android,35-44
100156,2026-01-06,2026-01,organic,Tier 1,Android,18-24
100157,2026-01-14,2026-01,partner_bank,Tier 1,Android,25-34
100158,2026-01-16,2026-01,referral,Tier 2,Android,35-44
100159,2026-01-17,2026-01,referral,Tier 1,Android,18-24
100160,2026-01-04,2026-01,organic,Tier 1,Android,18-24
100161,2026-01-22,2026-01,referral,Tier 1,Android,25-34
100162,2026-01-06,2026-01,referral,Tier 2,Android,35-44
100163,2026-01-02,2026-01,organic,Tier 3,Android,25-34
100164,2026-01-12,2026-01,partner_bank,Tier 2,Android,35-44
100165,2026-01-08,2026-01,organic,Tier 1,Android,35-44
100166,2026-01-19,2026-01,referral,Tier 2,Android,18-24
100167,2026-01-18,2026-01,organic,Tier 2,iOS,45-54
100168,2026-01-07,2026-01,referral,Tier 3,Android,35-44
100169,2026-01-24,2026-01,paid_ads,Tier 2,iOS,25-34
100170,2026-01-07,2026-01,partner_bank,Tier 2,Android,25-34
100171,2026-01-11,2026-01,organic,Tier 3,Android,25-34
100172,2026-01-06,2026-01,partner_bank,Tier 2,Android,45-54
100173,2026-01-23,2026-01,paid_ads,Tier 1,Android,25-34
100174,2026-01-04,2026-01,organic,Tier 2,Android,25-34
100175,2026-01-03,2026-01,organic,Tier 2,Android,45-54
100176,2026-01-09,2026-01,organic,Tier 2,Android,35-44
100177,2026-01-28,2026-01,partner_bank,Tier 3,Android,18-24
100178,2026-01-21,2026-01,organic,Tier 1,Android,35-44
100179,2026-01-16,2026-01,referral,Tier 2,Android,35-44
100180,2026-01-21,2026-01,paid_ads,Tier 1,Android,25-34
100181,2026-01-21,2026-01,partner_bank,Tier 1,iOS,25-34
100182,2026-01-11,2026-01,paid_ads,Tier 2,Android,35-44
100183,2026-01-07,2026-01,paid_ads,Tier 3,Android,25-34
100184,2026-01-17,2026-01,organic,Tier 2,Android,55+
100185,2026-01-14,2026-01,partner_bank,Tier 1,Android,25-34
100186,2026-01-08,2026-01,organic,Tier 1,Android,35-44
100187,2026-01-03,2026-01,organic,Tier 2,Android,35-44
100188,2026-01-16,2026-01,partner_bank,Tier 2,iOS,18-24
100189,2026-01-06,2026-01,organic,Tier 3,Android,18-24
100190,2026-01-23,2026-01,organic,Tier 2,Android,55+
100191,2026-01-06,2026-01,referral,Tier 3,iOS,35-44
100192,2026-01-04,2026-01,organic,Tier 3,Android,25-34
100193,2026-01-19,2026-01,organic,Tier 2,iOS,18-24
100194,2026-01-04,2026-01,referral,Tier 2,Android,18-24
100195,2026-01-05,2026-01,paid_ads,Tier 2,iOS,18-24
100196,2026-01-12,2026-01,paid_ads,Tier 3,Android,25-34
100197,2026-01-20,2026-01,organic,Tier 2,Android,25-34
100198,2026-01-05,2026-01,referral,Tier 2,iOS,18-24
100199,2026-01-07,2026-01,paid_ads,Tier 2,Android,35-44
100200,2026-01-17,2026-01,organic,Tier 2,Android,55+
100201,2026-01-26,2026-01,organic,Tier 3,Android,55+
100202,2026-01-10,2026-01,organic,Tier 3,Android,35-44
100203,2026-01-04,2026-01,referral,Tier 1,Android,25-34
100204,2026-01-02,2026-01,organic,Tier 1,Android,25-34
100205,2026-01-06,2026-01,paid_ads,Tier 3,Android,25-34
100206,2026-01-04,2026-01,partner_bank,Tier 2,Android,18-24
100207,2026-01-14,2026-01,organic,Tier 3,Android,45-54
100208,2026-01-04,2026-01,referral,Tier 1,Android,35-44
100209,2026-01-11,2026-01,organic,Tier 3,Android,35-44
100210,2026-01-15,2026-01,organic,Tier 2,Android,25-34
100211,2026-01-12,2026-01,paid_ads,Tier 1,Android,18-24
100212,2026-01-05,2026-01,referral,Tier 1,iOS,45-54
100213,2026-01-18,2026-01,partner_bank,Tier 2,Android,18-24
100214,2026-01-15,2026-01,referral,Tier 1,Android,18-24
100215,2026-01-16,2026-01,organic,Tier 3,iOS,35-44
100216,2026-01-04,2026-01,referral,Tier 2,Android,35-44
100217,2026-01-04,2026-01,organic,Tier 2,Android,18-24
100218,2026-01-23,2026-01,partner_bank,Tier 1,Android,18-24
100219,2026-01-08,2026-01,paid_ads,Tier 3,Android,35-44
100220,2026-01-07,2026-01,organic,Tier 2,Android,45-54
100221,2026-01-10,2026-01,referral,Tier 3,Android,25-34
100222,2026-01-14,2026-01,paid_ads,Tier 3,Android,35-44
100223,2026-01-25,2026-01,paid_ads,Tier 2,Android,25-34
100224,2026-01-06,2026-01,organic,Tier 3,Android,35-44
100225,2026-01-23,2026-01,organic,Tier 2,Android,25-34
100226,2026-01-02,2026-01,organic,Tier 2,Android,45-54
100227,2026-01-12,2026-01,organic,Tier 1,Android,35-44
100228,2026-01-13,2026-01,referral,Tier 1,Android,25-34
100229,2026-01-04,2026-01,organic,Tier 2,Android,18-24
100230,2026-01-04,2026-01,referral,Tier 1,iOS,35-44
100231,2026-01-09,2026-01,referral,Tier 2,Android,18-24
100232,2026-01-25,2026-01,organic,Tier 3,Android,35-44
100233,2026-01-12,2026-01,partner_bank,Tier 2,Android,25-34
100234,2026-01-23,2026-01,referral,Tier 1,Android,18-24
100235,2026-01-18,2026-01,organic,Tier 2,Android,35-44
100236,2026-01-10,2026-01,referral,Tier 1,Android,25-34
100237,2026-01-17,2026-01,organic,Tier 3,Android,45-54
100238,2026-01-02,2026-01,partner_bank,Tier 2,Android,18-24
100239,2026-01-04,2026-01,referral,Tier 2,Android,18-24
100240,2026-01-19,2026-01,referral,Tier 2,Android,18-24
100241,2026-01-18,2026-01,partner_bank,Tier 2,Android,25-34
100242,2026-01-06,2026-01,paid_ads,Tier 1,Android,35-44
100243,2026-01-11,2026-01,paid_ads,Tier 1,Android,25-34
100244,2026-01-13,2026-01,organic,Tier 2,Android,18-24
100245,2026-01-20,2026-01,organic,Tier 3,Android,55+
100246,2026-01-13,2026-01,paid_ads,Tier 1,Android,18-24
100247,2026-01-09,2026-01,referral,Tier 1,iOS,25-34
100248,2026-01-08,2026-01,paid_ads,Tier 1,iOS,45-54
100249,2026-01-09,2026-01,paid_ads,Tier 2,Android,35-44
100250,2026-01-14,2026-01,organic,Tier 1,Android,25-34
100251,2026-01-20,2026-01,organic,Tier 3,Android,55+
100252,2026-01-09,2026-01,referral,Tier 1,Android,25-34
100253,2026-01-06,2026-01,organic,Tier 2,Android,18-24
100254,2026-01-06,2026-01,paid_ads,Tier 1,Android,18-24
100255,2026-01-16,2026-01,paid_ads,Tier 2,Android,45-54
100256,2026-01-18,2026-01,referral,Tier 1,Android,25-34
100257,2026-01-04,2026-01,paid_ads,Tier 2,iOS,35-44
100258,2026-01-03,2026-01,referral,Tier 3,Android,18-24
100259,2026-01-12,2026-01,paid_ads,Tier 1,Android,18-24
100260,2026-01-04,2026-01,organic,Tier 3,Android,45-54
100261,2026-01-19,2026-01,paid_ads,Tier 1,Android,55+
100262,2026-01-07,2026-01,paid_ads,Tier 2,iOS,18-24
100263,2026-01-04,2026-01,organic,Tier 2,Android,18-24
100264,2026-01-22,2026-01,referral,Tier 1,Android,35-44
100265,2026-01-05,2026-01,partner_bank,Tier 2,Android,25-34
100266,2026-01-06,2026-01,organic,Tier 1,Android,25-34
100267,2026-01-04,2026-01,paid_ads,Tier 2,Android,18-24
100268,2026-01-04,2026-01,partner_bank,Tier 2,Android,45-54
100269,2026-01-02,2026-01,partner_bank,Tier 3,Android,18-24
100270,2026-01-03,2026-01,referral,Tier 1,Android,25-34
100271,2026-01-05,2026-01,referral,Tier 3,Android,25-34
100272,2026-01-03,2026-01,partner_bank,Tier 1,Android,18-24
100273,2026-01-12,2026-01,referral,Tier 2,Android,25-34
100274,2026-01-14,2026-01,organic,Tier 1,Android,25-34
100275,2026-01-08,2026-01,organic,Tier 1,Android,35-44
100276,2026-01-07,2026-01,paid_ads,Tier 1,Android,25-34
100277,2026-01-10,2026-01,referral,Tier 2,Android,18-24
100278,2026-01-20,2026-01,organic,Tier 1,Android,45-54
100279,2026-01-20,2026-01,organic,Tier 2,Android,25-34
100280,2026-01-02,2026-01,paid_ads,Tier 3,Android,25-34
100281,2026-01-05,2026-01,referral,Tier 1,Android,18-24
100282,2026-01-06,2026-01,partner_bank,Tier 1,Android,25-34
100283,2026-01-06,2026-01,paid_ads,Tier 1,Android,35-44
100284,2026-01-12,2026-01,partner_bank,Tier 1,Android,35-44
100285,2026-01-09,2026-01,partner_bank,Tier 2,Android,35-44
100286,2026-01-03,2026-01,organic,Tier 2,Android,18-24
100287,2026-01-08,2026-01,paid_ads,Tier 1,Android,55+
100288,2026-01-11,2026-01,organic,Tier 1,Android,18-24
100289,2026-01-04,2026-01,partner_bank,Tier 2,Android,25-34
100290,2026-01-19,2026-01,organic,Tier 1,Android,25-34
100291,2026-01-03,2026-01,paid_ads,Tier 2,Android,18-24
100292,2026-01-23,2026-01,paid_ads,Tier 3,Android,25-34
100293,2026-01-03,2026-01,organic,Tier 1,Android,18-24
100294,2026-01-19,2026-01,paid_ads,Tier 2,iOS,35-44
100295,2026-01-22,2026-01,organic,Tier 3,Android,35-44
100296,2026-01-26,2026-01,referral,Tier 2,Android,35-44
100297,2026-01-18,2026-01,referral,Tier 3,iOS,25-34
100298,2026-01-17,2026-01,organic,Tier 3,iOS,25-34
100299,2026-01-13,2026-01,referral,Tier 2,Android,35-44
100300,2026-01-17,2026-01,partner_bank,Tier 2,Android,25-34
100301,2026-01-04,2026-01,organic,Tier 2,Android,25-34
100302,2026-01-11,2026-01,referral,Tier 2,Android,18-24
100303,2026-01-11,2026-01,partner_bank,Tier 2,Android,18-24
100304,2026-01-20,2026-01,paid_ads,Tier 2,Android,25-34
100305,2026-01-10,2026-01,organic,Tier 3,Android,35-44
100306,2026-01-08,2026-01,partner_bank,Tier 1,Android,45-54
100307,2026-01-13,2026-01,organic,Tier 1,Android,55+
100308,2026-01-06,2026-01,referral,Tier 1,Android,25-34
100309,2026-01-04,2026-01,referral,Tier 1,Android,25-34
100310,2026-01-10,2026-01,paid_ads,Tier 2,Android,35-44
100311,2026-01-09,2026-01,organic,Tier 1,Android,25-34
100312,2026-01-06,2026-01,organic,Tier 2,iOS,25-34
100313,2026-01-08,2026-01,paid_ads,Tier 2,Android,35-44
100314,2026-01-08,2026-01,organic,Tier 1,Android,25-34
100315,2026-01-07,2026-01,referral,Tier 1,Android,25-34
100316,2026-01-08,2026-01,paid_ads,Tier 2,Android,25-34
100317,2026-01-15,2026-01,paid_ads,Tier 2,Android,25-34
100318,2026-01-07,2026-01,organic,Tier 2,Android,25-34
100319,2026-01-24,2026-01,organic,Tier 1,Android,18-24
100320,2026-01-22,2026-01,partner_bank,Tier 1,iOS,18-24
100321,2026-01-10,2026-01,referral,Tier 1,Android,35-44
100322,2026-01-07,2026-01,organic,Tier 1,iOS,45-54
100323,2026-01-11,2026-01,organic,Tier 3,Android,45-54
100324,2026-01-19,2026-01,organic,Tier 1,Android,35-44
100325,2026-01-14,2026-01,partner_bank,Tier 1,Android,18-24
100326,2026-01-18,2026-01,organic,Tier 3,iOS,18-24
100327,2026-01-11,2026-01,organic,Tier 2,Android,25-34
100328,2026-01-13,2026-01,referral,Tier 2,Android,25-34
100329,2026-01-06,2026-01,organic,Tier 2,Android,35-44
100330,2026-01-16,2026-01,organic,Tier 3,iOS,25-34
100331,2026-01-05,2026-01,partner_bank,Tier 1,Android,45-54
100332,2026-01-15,2026-01,paid_ads,Tier 1,Android,25-34
100333,2026-01-20,2026-01,organic,Tier 3,Android,25-34
100334,2026-01-04,2026-01,referral,Tier 3,Android,45-54
100335,2026-01-13,2026-01,organic,Tier 3,Android,25-34
100336,2026-01-03,2026-01,organic,Tier 1,Android,35-44
100337,2026-01-16,2026-01,referral,Tier 3,Android,35-44
100338,2026-01-03,2026-01,referral,Tier 1,Android,35-44
100339,2026-01-23,2026-01,paid_ads,Tier 2,iOS,35-44
100340,2026-01-04,2026-01,partner_bank,Tier 3,Android,25-34
100341,2026-01-25,2026-01,organic,Tier 1,Android,25-34
100342,2026-01-18,2026-01,partner_bank,Tier 1,Android,35-44
100343,2026-01-12,2026-01,referral,Tier 2,Android,25-34
100344,2026-01-17,2026-01,organic,Tier 3,Android,35-44
100345,2026-01-18,2026-01,paid_ads,Tier 1,Android,25-34
100346,2026-01-24,2026-01,organic,Tier 3,Android,18-24
100347,2026-01-06,2026-01,referral,Tier 1,Android,25-34
100348,2026-01-12,2026-01,paid_ads,Tier 2,Android,55+
100349,2026-01-03,2026-01,organic,Tier 1,Android,25-34
100350,2026-01-13,2026-01,partner_bank,Tier 3,iOS,25-34
100351,2026-01-05,2026-01,organic,Tier 1,Android,18-24
100352,2026-01-12,2026-01,paid_ads,Tier 2,iOS,25-34
100353,2026-01-12,2026-01,organic,Tier 1,Android,25-34
100354,2026-01-10,2026-01,organic,Tier 3,Android,35-44
100355,2026-01-11,2026-01,organic,Tier 3,Android,18-24
100356,2026-01-17,2026-01,partner_bank,Tier 1,Android,25-34
100357,2026-01-18,2026-01,organic,Tier 1,Android,18-24
100358,2026-01-10,2026-01,partner_bank,Tier 2,Android,18-24
100359,2026-01-12,2026-01,organic,Tier 2,Android,35-44
100360,2026-01-23,2026-01,referral,Tier 3,Android,45-54
100361,2026-01-04,2026-01,organic,Tier 2,Android,35-44
100362,2026-01-04,2026-01,organic,Tier 2,Android,45-54
100363,2026-01-03,2026-01,partner_bank,Tier 2,Android,18-24
100364,2026-01-14,2026-01,referral,Tier 2,Android,45-54
100365,2026-01-09,2026-01,paid_ads,Tier 1,iOS,25-34
100366,2026-01-17,2026-01,referral,Tier 1,Android,35-44
100367,2026-01-14,2026-01,referral,Tier 1,Android,35-44
100368,2026-01-07,2026-01,referral,Tier 2,Android,25-34
100369,2026-01-21,2026-01,partner_bank,Tier 1,Android,25-34
100370,2026-01-17,2026-01,paid_ads,Tier 2,Android,18-24
100371,2026-01-06,2026-01,referral,Tier 1,Android,25-34
100372,2026-01-08,2026-01,referral,Tier 2,Android,25-34
100373,2026-01-07,2026-01,referral,Tier 1,Android,55+
100374,2026-01-04,2026-01,referral,Tier 2,Android,18-24
100375,2026-01-04,2026-01,referral,Tier 1,Android,25-34
100376,2026-01-23,2026-01,referral,Tier 1,Android,25-34
100377,2026-01-09,2026-01,paid_ads,Tier 1,Android,18-24
100378,2026-01-08,2026-01,partner_bank,Tier 2,Android,25-34
100379,2026-01-16,2026-01,partner_bank,Tier 3,Android,25-34
100380,2026-01-11,2026-01,paid_ads,Tier 1,Android,25-34
100381,2026-01-23,2026-01,referral,Tier 2,Android,25-34
100382,2026-01-17,2026-01,paid_ads,Tier 2,Android,18-24
100383,2026-01-10,2026-01,organic,Tier 2,Android,25-34
100384,2026-01-08,2026-01,referral,Tier 2,Android,35-44
100385,2026-01-27,2026-01,organic,Tier 1,Android,35-44
100386,2026-01-15,2026-01,organic,Tier 2,Android,18-24
100387,2026-01-24,2026-01,partner_bank,Tier 3,Android,35-44
100388,2026-01-04,2026-01,partner_bank,Tier 3,Android,45-54
100389,2026-01-19,2026-01,referral,Tier 1,Android,18-24
100390,2026-01-13,2026-01,organic,Tier 2,Android,18-24
100391,2026-01-04,2026-01,paid_ads,Tier 1,Android,18-24
100392,2026-01-12,2026-01,referral,Tier 2,Android,18-24
100393,2026-01-15,2026-01,paid_ads,Tier 1,Android,35-44
100394,2026-01-02,2026-01,partner_bank,Tier 1,Android,35-44
100395,2026-01-09,2026-01,organic,Tier 2,iOS,25-34
100396,2026-01-19,2026-01,organic,Tier 3,Android,25-34
100397,2026-01-07,2026-01,organic,Tier 1,Android,35-44
100398,2026-01-10,2026-01,organic,Tier 2,Android,18-24
100399,2026-01-09,2026-01,organic,Tier 2,Android,18-24
100400,2026-01-07,2026-01,organic,Tier 3,Android,18-24
100401,2026-01-22,2026-01,organic,Tier 2,iOS,45-54
100402,2026-01-17,2026-01,organic,Tier 1,iOS,35-44
100403,2026-01-04,2026-01,organic,Tier 1,Android,35-44
100404,2026-01-29,2026-01,paid_ads,Tier 2,Android,35-44
100405,2026-01-21,2026-01,organic,Tier 1,Android,18-24
100406,2026-01-06,2026-01,partner_bank,Tier 3,iOS,25-34
100407,2026-01-19,2026-01,organic,Tier 3,Android,35-44
100408,2026-01-04,2026-01,organic,Tier 3,Android,45-54
100409,2026-01-30,2026-01,organic,Tier 1,Android,25-34
100410,2026-01-14,2026-01,paid_ads,Tier 2,Android,18-24
100411,2026-01-14,2026-01,organic,Tier 2,Android,55+
100412,2026-01-03,2026-01,referral,Tier 1,Android,25-34
100413,2026-01-21,2026-01,organic,Tier 1,Android,25-34
100414,2026-01-02,2026-01,partner_bank,Tier 1,Android,18-24
100415,2026-01-06,2026-01,organic,Tier 2,Android,18-24
100416,2026-01-04,2026-01,referral,Tier 3,Android,35-44
100417,2026-01-17,2026-01,partner_bank,Tier 3,Android,35-44
100418,2026-01-05,2026-01,organic,Tier 1,Android,25-34
100419,2026-01-22,2026-01,organic,Tier 2,Android,18-24
100420,2026-01-14,2026-01,paid_ads,Tier 1,Android,25-34
100421,2026-01-02,2026-01,organic,Tier 1,Android,25-34
100422,2026-01-01,2026-01,organic,Tier 1,Android,25-34
100423,2026-01-03,2026-01,referral,Tier 2,Android,18-24
100424,2026-01-13,2026-01,organic,Tier 2,Android,45-54
100425,2026-01-18,2026-01,partner_bank,Tier 3,Android,55+
100426,2026-01-06,2026-01,referral,Tier 3,Android,25-34
100427,2026-01-19,2026-01,referral,Tier 1,Android,35-44
100428,2026-01-03,2026-01,organic,Tier 2,Android,45-54
100429,2026-01-18,2026-01,paid_ads,Tier 1,Android,18-24
100430,2026-01-23,2026-01,paid_ads,Tier 2,Android,45-54
100431,2026-01-17,2026-01,organic,Tier 2,Android,25-34
100432,2026-01-15,2026-01,partner_bank,Tier 1,Android,25-34
