user_id,recency_days,frequency,monetary_inr,r_score,f_score,m_score,rfm_score,segment
100391,123,2,621.9200000000001,1,1,1,3,Dormant / Churned
100394,17,26,14363.32,2,4,4,10,"At-Risk (was frequent, going quiet)"
100395,131,6,3744.86,1,2,2,5,Dormant / Churned
100397,8,51,24651.25,2,4,4,10,"At-Risk (was frequent, going quiet)"
100398,2,38,22999.24,3,4,4,11,Power Users
100399,116,5,3888.52,1,2,2,5,Dormant / Churned
100405,0,99,63602.58,4,4,4,12,Power Users
100406,18,38,19008.989999999998,2,4,4,10,"At-Risk (was frequent, going quiet)"
100409,1,32,16972.47,4,4,4,12,Power Users
100411,162,1,443.81,1,1,1,3,Dormant / Churned
100414,154,1,1050.68,1,1,1,3,Dormant / Churned
100416,2,43,29683.21,3,4,4,11,Power Users
100417,0,108,60389.979999999996,4,4,4,12,Power Users
100418,0,122,69197.05,4,4,4,12,Power Users
100419,40,8,3356.77,1,2,2,5,Dormant / Churned
100420,0,97,56398.81,4,4,4,12,Power Users
100422,0,103,50865.64,4,4,4,12,Power Users
100424,13,39,20240.45,2,4,4,10,"At-Risk (was frequent, going quiet)"
100425,9,32,12401.92,2,4,3,9,"At-Risk (was frequent, going quiet)"
100426,81,21,11389.789999999999,1,3,3,7,"At-Risk (was frequent, going quiet)"
100434,19,31,21957.22,2,4,4,10,"At-Risk (was frequent, going quiet)"
100436,1,31,13427.18,4,4,4,12,Power Users
100438,7,36,18541.08,2,4,4,10,"At-Risk (was frequent, going quiet)"
100445,81,4,754.6600000000001,1,2,1,4,Dormant / Churned
100446,8,40,17432.05,2,4,4,10,"At-Risk (was frequent, going quiet)"
100447,74,19,11643.74,1,3,3,7,"At-Risk (was frequent, going quiet)"
100448,140,2,534.6500000000001,1,1,1,3,Dormant / Churned
100449,6,28,13568.12,3,4,4,11,Power Users
100451,1,107,62866.3,4,4,4,12,Power Users
100453,17,9,4811.42,2,3,3,8,"At-Risk (was frequent, going quiet)"
100454,7,8,6419.99,2,2,3,7,Casual / New
100457,3,37,22144.57,3,4,4,11,Power Users
100459,27,11,8029.740000000001,2,3,3,8,"At-Risk (was frequent, going quiet)"
100460,139,7,2693.81,1,2,2,5,Dormant / Churned
100461,1,49,22068.03,4,4,4,12,Power Users
100463,5,44,27085.69,3,4,4,11,Power Users
100464,16,40,23547.600000000002,2,4,4,10,"At-Risk (was frequent, going quiet)"
100465,0,103,54446.44,4,4,4,12,Power Users
100466,25,4,847.57,2,2,1,5,Casual / New
100468,40,8,6249.59,1,2,3,6,Dormant / Churned
100469,80,8,11495.39,1,2,3,6,Dormant / Churned
100470,0,114,59002.35,4,4,4,12,Power Users
100471,9,12,6621.96,2,3,3,8,"At-Risk (was frequent, going quiet)"
100472,95,6,2874.6,1,2,2,5,Dormant / Churned
100473,4,46,25711.29,3,4,4,11,Power Users
100478,141,5,1095.33,1,2,1,4,Dormant / Churned
100481,2,96,51007.64,3,4,4,11,Power Users
100484,15,36,25198.78,2,4,4,10,"At-Risk (was frequent, going quiet)"
100485,1,40,27635.7,4,4,4,12,Power Users
100486,0,109,59434.39,4,4,4,12,Power Users
100487,141,1,967.26,1,1,1,3,Dormant / Churned
100488,108,4,4194.96,1,2,2,5,Dormant / Churned
100489,138,1,116.19,1,1,1,3,Dormant / Churned
100491,0,41,24554.03,4,4,4,12,Power Users
100493,154,1,1825.81,1,1,2,4,Dormant / Churned
100495,25,6,1738.24,2,2,2,6,Casual / New
100496,1,44,18372.64,4,4,4,12,Power Users
100497,79,22,12977.4,1,3,3,7,"At-Risk (was frequent, going quiet)"
100499,4,44,21147.31,3,4,4,11,Power Users
100500,0,105,61745.14,4,4,4,12,Power Users
100502,35,6,5152.5199999999995,1,2,3,6,Dormant / Churned
100506,46,10,4327.63,1,3,3,7,"At-Risk (was frequent, going quiet)"
100507,24,9,8311.39,2,3,3,8,"At-Risk (was frequent, going quiet)"
100508,5,42,17783.28,3,4,4,11,Power Users
100509,15,9,9815.04,2,3,3,8,"At-Risk (was frequent, going quiet)"
100511,19,7,5382.47,2,2,3,7,Casual / New
100512,1,94,46089.42,4,4,4,12,Power Users
100513,117,3,935.1200000000001,1,1,1,3,Dormant / Churned
100516,144,2,281.54,1,1,1,3,Dormant / Churned
100517,2,122,67399.57,3,4,4,11,Power Users
100518,0,114,70900.79,4,4,4,12,Power Users
100519,16,10,3508.91,2,3,2,7,"At-Risk (was frequent, going quiet)"
100520,43,31,16331.710000000001,1,4,4,9,"At-Risk (was frequent, going quiet)"
100522,30,26,10311.07,2,4,3,9,"At-Risk (was frequent, going quiet)"
100526,1,112,64369.9,4,4,4,12,Power Users
100527,7,36,24543.45,2,4,4,10,"At-Risk (was frequent, going quiet)"
100528,2,98,43208.64,3,4,4,11,Power Users
100529,0,111,78794.52,4,4,4,12,Power Users
100531,142,2,408.4,1,1,1,3,Dormant / Churned
100532,16,9,9396.41,2,3,3,8,"At-Risk (was frequent, going quiet)"
100535,9,35,15705.56,2,4,4,10,"At-Risk (was frequent, going quiet)"
100541,3,40,26569.309999999998,3,4,4,11,Power Users
100544,149,4,980.3299999999999,1,2,1,4,Dormant / Churned
100546,51,88,46235.8,1,4,4,9,"At-Risk (was frequent, going quiet)"
100547,3,47,19540.88,3,4,4,11,Power Users
100548,8,10,7645.389999999999,2,3,3,8,"At-Risk (was frequent, going quiet)"
100550,22,9,3277.0,2,3,2,7,"At-Risk (was frequent, going quiet)"
100553,79,8,3047.03,1,2,2,5,Dormant / Churned
100555,1,99,55748.37,4,4,4,12,Power Users
100556,1,120,65725.16,4,4,4,12,Power Users
100561,0,97,62946.36,4,4,4,12,Power Users
100562,3,109,54413.4,3,4,4,11,Power Users
100563,124,2,679.69,1,1,1,3,Dormant / Churned
100565,4,34,14286.17,3,4,4,11,Power Users
100568,109,4,2297.74,1,2,2,5,Dormant / Churned
100570,60,4,1549.65,1,2,2,5,Dormant / Churned
100571,7,10,2411.55,2,3,2,7,"At-Risk (was frequent, going quiet)"
100574,78,2,925.22,1,1,1,3,Dormant / Churned
100577,12,40,23562.84,2,4,4,10,"At-Risk (was frequent, going quiet)"
100578,0,93,61563.66,4,4,4,12,Power Users
100581,22,13,4864.11,2,3,3,8,"At-Risk (was frequent, going quiet)"
100582,0,112,62866.7,4,4,4,12,Power Users
100585,113,2,1643.4,1,1,2,4,Dormant / Churned
100587,112,2,267.46,1,1,1,3,Dormant / Churned
100589,125,2,880.63,1,1,1,3,Dormant / Churned
100593,16,41,18559.06,2,4,4,10,"At-Risk (was frequent, going quiet)"
100595,89,5,1126.8999999999999,1,2,1,4,Dormant / Churned
100605,3,28,13072.94,3,4,3,10,Power Users
100606,2,30,12930.36,3,4,3,10,Power Users
100607,115,6,2624.1,1,2,2,5,Dormant / Churned
100608,53,4,2305.07,1,2,2,5,Dormant / Churned
100609,0,31,15347.92,4,4,4,12,Power Users
100611,154,1,228.02,1,1,1,3,Dormant / Churned
100613,1,38,21046.6,4,4,4,12,Power Users
100614,1,5,4169.65,4,2,2,8,Regular Users
100615,2,2,565.12,3,1,1,5,Casual / New
100617,17,35,22859.829999999998,2,4,4,10,"At-Risk (was frequent, going quiet)"
100618,2,43,29347.510000000002,3,4,4,11,Power Users
100619,2,120,68536.66,3,4,4,11,Power Users
100620,54,9,4404.53,1,3,3,7,"At-Risk (was frequent, going quiet)"
100621,1,37,22833.27,4,4,4,12,Power Users
100622,20,8,5310.28,2,2,3,7,Casual / New
100627,1,117,76880.08,4,4,4,12,Power Users
100628,15,11,11659.97,2,3,3,8,"At-Risk (was frequent, going quiet)"
100629,38,20,13876.25,1,3,4,8,"At-Risk (was frequent, going quiet)"
100630,14,28,8783.66,2,4,3,9,"At-Risk (was frequent, going quiet)"
100632,2,40,19973.18,3,4,4,11,Power Users
100633,1,7,3198.05,4,2,2,8,Regular Users
100634,8,34,20087.16,2,4,4,10,"At-Risk (was frequent, going quiet)"
100636,16,44,18973.11,2,4,4,10,"At-Risk (was frequent, going quiet)"
100637,1,123,67579.98,4,4,4,12,Power Users
100639,152,1,230.75,1,1,1,3,Dormant / Churned
100640,6,40,25651.78,3,4,4,11,Power Users
100642,45,11,7089.95,1,3,3,7,"At-Risk (was frequent, going quiet)"
100644,0,51,23807.16,4,4,4,12,Power Users
100645,103,8,4218.41,1,2,2,5,Dormant / Churned
100646,158,1,341.89,1,1,1,3,Dormant / Churned
100647,2,53,27125.31,3,4,4,11,Power Users
100648,147,1,655.77,1,1,1,3,Dormant / Churned
100649,41,9,2623.4,1,3,2,6,"At-Risk (was frequent, going quiet)"
100650,109,19,13949.44,1,3,4,8,"At-Risk (was frequent, going quiet)"
100651,8,33,12544.68,2,4,3,9,"At-Risk (was frequent, going quiet)"
100654,14,59,36122.55,2,4,4,10,"At-Risk (was frequent, going quiet)"
100656,11,12,13023.0,2,3,3,8,"At-Risk (was frequent, going quiet)"
100661,2,102,49434.68,3,4,4,11,Power Users
100663,151,1,543.79,1,1,1,3,Dormant / Churned
100664,164,1,1089.18,1,1,1,3,Dormant / Churned
100665,23,6,3087.28,2,2,2,6,Casual / New
100667,121,4,3620.78,1,2,2,5,Dormant / Churned
100668,3,41,17730.85,3,4,4,11,Power Users
100671,7,103,60534.83,2,4,4,10,"At-Risk (was frequent, going quiet)"
100672,13,24,12607.81,2,3,3,8,"At-Risk (was frequent, going quiet)"
100673,55,2,5692.610000000001,1,1,3,5,Dormant / Churned
100674,6,119,58259.67,3,4,4,11,Power Users
100677,1,102,55287.96,4,4,4,12,Power Users
100679,1,34,18459.600000000002,4,4,4,12,Power Users
100680,15,42,24171.17,2,4,4,10,"At-Risk (was frequent, going quiet)"
100682,3,117,59965.63,3,4,4,11,Power Users
100685,0,42,31391.17,4,4,4,12,Power Users
100686,0,34,14769.8,4,4,4,12,Power Users
100687,98,6,3019.06,1,2,2,5,Dormant / Churned
100688,9,31,14144.44,2,4,4,10,"At-Risk (was frequent, going quiet)"
100693,44,2,3387.12,1,1,2,4,Dormant / Churned
100696,79,11,4675.7,1,3,3,7,"At-Risk (was frequent, going quiet)"
100697,0,91,52022.85,4,4,4,12,Power Users
100700,108,3,902.9300000000001,1,1,1,3,Dormant / Churned
100703,127,2,1690.1399999999999,1,1,2,4,Dormant / Churned
100704,58,9,4027.15,1,3,2,6,"At-Risk (was frequent, going quiet)"
100706,17,26,11401.95,2,4,3,9,"At-Risk (was frequent, going quiet)"
100711,83,19,9059.73,1,3,3,7,"At-Risk (was frequent, going quiet)"
100712,7,48,27490.94,2,4,4,10,"At-Risk (was frequent, going quiet)"
100713,100,9,5876.92,1,3,3,7,"At-Risk (was frequent, going quiet)"
100715,94,14,5669.42,1,3,3,7,"At-Risk (was frequent, going quiet)"
100723,69,12,6647.15,1,3,3,7,"At-Risk (was frequent, going quiet)"
100724,4,41,19500.44,3,4,4,11,Power Users
100727,1,115,69055.08,4,4,4,12,Power Users
100732,126,2,957.3599999999999,1,1,1,3,Dormant / Churned
100734,88,19,9271.73,1,3,3,7,"At-Risk (was frequent, going quiet)"
100735,0,36,18908.48,4,4,4,12,Power Users
100736,2,42,17876.78,3,4,4,11,Power Users
100742,99,3,1846.97,1,1,2,4,Dormant / Churned
100743,2,90,44728.86,3,4,4,11,Power Users
100744,2,111,66786.82,3,4,4,11,Power Users
100745,40,9,4561.21,1,3,3,7,"At-Risk (was frequent, going quiet)"
100746,33,27,11465.74,1,4,3,8,"At-Risk (was frequent, going quiet)"
100749,15,33,19479.69,2,4,4,10,"At-Risk (was frequent, going quiet)"
100750,67,7,5038.9,1,2,3,6,Dormant / Churned
100751,0,47,16718.22,4,4,4,12,Power Users
100753,5,35,26561.42,3,4,4,11,Power Users
100754,121,6,2068.69,1,2,2,5,Dormant / Churned
100755,76,3,1225.14,1,1,1,3,Dormant / Churned
100756,38,12,13530.050000000001,1,3,4,8,"At-Risk (was frequent, going quiet)"
100758,29,11,4811.4400000000005,2,3,3,8,"At-Risk (was frequent, going quiet)"
100759,21,7,5590.76,2,2,3,7,Casual / New
100760,45,6,2363.98,1,2,2,5,Dormant / Churned
100761,0,35,20966.67,4,4,4,12,Power Users
100762,2,46,20314.8,3,4,4,11,Power Users
100763,162,1,645.82,1,1,1,3,Dormant / Churned
100764,10,9,4535.17,2,3,3,8,"At-Risk (was frequent, going quiet)"
100765,156,3,1649.4799999999998,1,1,2,4,Dormant / Churned
100766,122,3,789.6099999999999,1,1,1,3,Dormant / Churned
100767,56,64,35422.66,1,4,4,9,"At-Risk (was frequent, going quiet)"
100768,1,114,50398.24,4,4,4,12,Power Users
100773,0,101,53579.13,4,4,4,12,Power Users
100774,5,7,3276.04,3,2,2,7,Regular Users
100775,150,1,195.9,1,1,1,3,Dormant / Churned
100780,79,25,9650.15,1,3,3,7,"At-Risk (was frequent, going quiet)"
100781,37,75,37836.93,1,4,4,9,"At-Risk (was frequent, going quiet)"
100784,6,30,16086.23,3,4,4,11,Power Users
100785,0,36,17108.1,4,4,4,12,Power Users
100787,25,32,17686.59,2,4,4,10,"At-Risk (was frequent, going quiet)"
100790,13,42,17598.32,2,4,4,10,"At-Risk (was frequent, going quiet)"
100792,5,109,60590.729999999996,3,4,4,11,Power Users
100793,114,27,13744.859999999999,1,4,4,9,"At-Risk (was frequent, going quiet)"
100794,116,2,476.34000000000003,1,1,1,3,Dormant / Churned
100798,147,1,99.96,1,1,1,3,Dormant / Churned
100799,8,48,21039.76,2,4,4,10,"At-Risk (was frequent, going quiet)"
100800,2,38,23220.35,3,4,4,11,Power Users
100801,0,99,52444.88,4,4,4,12,Power Users
100803,3,42,18336.22,3,4,4,11,Power Users
100804,7,41,20848.51,2,4,4,10,"At-Risk (was frequent, going quiet)"
100805,60,8,2331.5299999999997,1,2,2,5,Dormant / Churned
100806,148,1,45.15,1,1,1,3,Dormant / Churned
100812,98,2,216.76,1,1,1,3,Dormant / Churned
100814,84,32,13091.45,1,4,3,8,"At-Risk (was frequent, going quiet)"
100815,0,119,64154.58,4,4,4,12,Power Users
100816,127,9,8754.75,1,3,3,7,"At-Risk (was frequent, going quiet)"
100817,3,55,34800.0,3,4,4,11,Power Users
100818,27,15,8755.130000000001,2,3,3,8,"At-Risk (was frequent, going quiet)"
100819,121,3,887.6400000000001,1,1,1,3,Dormant / Churned
100820,9,41,22021.42,2,4,4,10,"At-Risk (was frequent, going quiet)"
100821,0,97,52503.96,4,4,4,12,Power Users
100823,53,5,3449.11,1,2,2,5,Dormant / Churned
100826,152,1,991.53,1,1,1,3,Dormant / Churned
100828,0,114,70436.31,4,4,4,12,Power Users
100829,55,3,1680.8600000000001,1,1,2,4,Dormant / Churned
100831,145,1,333.47,1,1,1,3,Dormant / Churned
100833,0,121,59576.68,4,4,4,12,Power Users
100836,1,27,14007.71,4,4,4,12,Power Users
100837,14,36,15257.08,2,4,4,10,"At-Risk (was frequent, going quiet)"
100839,3,13,9772.96,3,3,3,9,Power Users
100840,4,45,23860.6,3,4,4,11,Power Users
100841,0,97,55705.58,4,4,4,12,Power Users
100843,4,7,3030.6,3,2,2,7,Regular Users
100844,2,11,7432.22,3,3,3,9,Power Users
100845,128,1,310.84,1,1,1,3,Dormant / Churned
100847,1,102,50623.64,4,4,4,12,Power Users
100848,14,33,16685.68,2,4,4,10,"At-Risk (was frequent, going quiet)"
100849,133,2,1207.3600000000001,1,1,1,3,Dormant / Churned
100850,0,104,52674.090000000004,4,4,4,12,Power Users
100853,127,4,8164.32,1,2,3,6,Dormant / Churned
100856,97,6,3137.89,1,2,2,5,Dormant / Churned
100860,37,5,1700.18,1,2,2,5,Dormant / Churned
100862,99,3,2907.15,1,1,2,4,Dormant / Churned
100864,13,9,4785.84,2,3,3,8,"At-Risk (was frequent, going quiet)"
100871,6,31,15110.13,3,4,4,11,Power Users
100876,40,5,3004.23,1,2,2,5,Dormant / Churned
100877,10,11,3643.52,2,3,2,7,"At-Risk (was frequent, going quiet)"
100880,1,36,20922.91,4,4,4,12,Power Users
100885,3,31,12596.699999999999,3,4,3,10,Power Users
100886,0,35,17008.15,4,4,4,12,Power Users
100890,144,15,8682.66,1,3,3,7,"At-Risk (was frequent, going quiet)"
100891,3,90,48710.89,3,4,4,11,Power Users
100892,52,9,2150.56,1,3,2,6,"At-Risk (was frequent, going quiet)"
100894,2,36,28454.64,3,4,4,11,Power Users
100898,112,14,8095.74,1,3,3,7,"At-Risk (was frequent, going quiet)"
